Signal Recording: Id=eda68de99dee4e9299d31c34fee9a5f9 (started 16:02:56 and finished 16:03:15)

Time	J1	J2	J3	J4	J5	J6
1.608	96.0090731626612	-19.0083720639159	54.0963003397949	177.036604494141	-41.6490421435391	8.0915330106437
1.632	97.8492695590352	-19.078763993502	54.1439033432153	176.465108905908	-41.4792914520968	10.3003316646348
1.656	99.3442067230542	-19.1308561387544	54.1833203649155	175.977296795386	-41.3483054992889	12.1159163281084
1.68	100.739853427109	-19.1043874481733	54.231111198538	175.174640284882	-41.3279754412243	14.1234788261307
1.704	102.142781112819	-18.9351592662025	54.3000312223581	173.708362594621	-41.5011617178192	16.7351109383118
1.728	103.548475025142	-18.6039087518352	54.392751040341	171.491611039115	-41.8941878781346	20.0248288633661
1.752	104.985512675567	-18.0965076587733	54.5122417847758	168.445128103236	-42.5250958668633	24.0902923535938
1.776	106.371822511026	-17.4562064523886	54.6495900587955	164.808885653283	-43.3384621139851	28.6399189257798
1.8	107.623768865133	-16.7670318273979	54.7898650688747	161.012147418213	-44.223603404	33.2102853673804
1.824	108.78559770333	-16.0475243323031	54.9317451734088	157.119089855467	-45.1535507349701	37.7843879224571
1.848	109.885647480485	-15.3090084207482	55.0744619761162	153.168262552722	-46.1117955396717	42.3536034771826
1.872	110.943548160272	-14.5566511308402	55.2178754581189	149.173981586476	-47.0905343269778	46.92313322061
1.896	111.973643139947	-13.7956596280477	55.361681675999	145.153349750413	-48.082110454829	51.4907949072993
1.92	112.990897363983	-13.030758695729	55.5056552335137	141.12087436633	-49.0795127340422	56.0572578957893
1.944	114.006785550185	-12.2662095181526	55.6495365834746	137.090693925807	-50.0764915415269	60.6204150727211
1.968	115.023295283601	-11.5026182746073	55.7932915749358	133.064652579921	-51.0721487074071	65.1804132871616
1.992	116.039791356639	-10.7390278848356	55.9370499814917	129.038611234036	-52.0678024581928	69.7404115016022
2.016	117.056301090055	-9.97543749506391	56.0808083880475	125.01256988815	-53.0634596240731	74.3004097160428
2.04	118.072797163093	-9.21184625151858	56.2245667946034	120.986528542264	-54.0591099597642	78.8604079304834
2.064	119.08930689651	-8.44825586174689	56.3683286162538	116.960487196379	-55.0547637105499	83.420406144924
2.088	120.105802969548	-7.68466547197521	56.5120870228096	112.934445850493	-56.0504208764301	87.9803975291754
2.112	121.122312702964	-6.92107422842988	56.6558420142709	108.908411334796	-57.0460712121212	92.540395743616
2.136	122.138808776002	-6.1574838386582	56.7996004208267	104.882369988911	-58.0417249629069	97.1004007882458
2.16	123.155318509418	-5.39389302199969	56.9433588273826	100.856328643025	-59.0373821287872	101.660399002686
2.184	124.171814582456	-4.63030220534118	57.0871172339384	96.8302872971393	-60.0330392946675	106.220390386938
2.208	125.188310655494	-3.8667118155695	57.2308756404943	92.8042459512536	-61.0286896303586	110.780388601378
2.232	126.204834049289	-3.10312099891099	57.3746340470501	88.7781977751788	-62.0243399660497	115.340393646008
2.256	127.221330122327	-2.33953039569589	57.5183890385114	84.7521564292931	-63.0199971319299	119.900391860449
2.28	128.237839855743	-1.57593957903739	57.6621508601618	80.7261150834074	-64.015647467621	124.460390074889
2.304	129.254335928781	-0.81234897582229	57.8059058516231	76.7000737375217	-65.0113046335013	129.020374628952
2.328	130.270845662198	-0.0487582858958079	57.9496676732735	72.6740323916361	-66.0069617993816	133.580372843392
2.352	131.287341735236	0.714832390690461	58.0934226647348	68.6479910457504	-67.0026189652618	138.140371057833
2.376	132.303673883733	1.48304996682056	58.2329565992889	64.6216969828654	-67.9984878670064	142.700738102489
2.4	133.279735236885	2.29789249529844	58.2989020757254	60.7399365530071	-68.9610732569254	147.09853298452
2.424	134.201769793702	3.25851015040631	58.1926379926184	57.035778117042	-69.8857237761943	151.297938191919
2.448	134.953718979807	4.34064882367975	57.8421604957375	53.9567117637274	-70.6637779453071	154.793055273241
2.472	135.456243317801	5.4389487917465	57.2766720588792	51.8258293464668	-71.2138677206816	157.217253334218
2.496	135.779516171218	6.65012446603688	56.4672297554356	50.35667273147	-71.6082565037365	158.895649379344
2.52	135.938017541097	7.9361590136306	55.4590699282796	49.5013827832226	-71.8571964084159	159.88171012944
2.544	135.962947731568	9.239026135547	54.3285506772374	49.1522576637974	-71.9847228704092	160.29622064979
2.568	135.923332634382	10.5334579738384	53.1535259135635	49.0510035244466	-72.0522392903548	160.430584131143
2.592	135.87651851781	11.8223957787162	51.9775654139732	48.9782517645022	-72.1127001248877	160.532668138478
2.616	135.829786363509	13.1092256164614	50.8035276126343	48.9056195328683	-72.1730585065831	160.634574560894
2.64	135.783136171478	14.3939509021686	49.6314056793576	48.8331034144502	-72.2333212656302	160.736303398392
2.664	135.736554281338	15.6765528528176	48.4612269348997	48.7607102394373	-72.2934884020288	160.837881971729
2.688	135.690040693091	16.9569862184051	47.2930255302066	48.6884365927348	-72.3535462554007	160.939282960147
2.712	135.643622727491	18.2352100177961	46.1268390313186	48.6162893045319	-72.4135016559351	161.040506363646
2.736	135.597286724162	19.5111764396664	44.9627118344654	48.5442717899233	-72.4733546036319	161.141565842606
2.76	135.551019022724	20.7849025594889	43.800626864174	48.4723772187198	-72.5331050984912	161.242434076269
2.784	135.504846943935	22.056431065946	42.6405499694986	48.4006090060159	-72.5927394801346	161.343124725013
2.808	135.458743167037	23.3257295156391	41.4825050561013	48.328963736717	-72.6522850693188	161.443651449217
2.832	135.412735012788	24.5927654651696	40.3265262749279	48.2574482410124	-72.711714545287	161.543986928125
2.856	135.366808820809	25.857506471139	39.1726409467351	48.1860659339966	-72.7710415684178	161.644158482492
2.88	135.320950930722	27.1199200901487	38.0208798073742	48.1148099854804	-72.8302593085218	161.744125131185
2.904	135.275188663282	28.3799755863474	36.8712633474127	48.0436838105585	-72.8893609354099	161.843927855337
2.928	135.229522018492	29.6376900352081	35.7237881517559	47.9726976545146	-72.9483601094605	161.943525673814
2.952	135.183923675593	30.893140276359	34.5783859185123	47.9018344418757	-73.0072431702951	162.042945907373
2.976	135.138407294964	32.1462921588542	33.4350703080601	47.8311044179256	-73.0660306084814	162.142188556013
3	135.092972876605	33.3971320223153	32.2938652260615	47.7605007524752	-73.1247019334518	162.241253619735
3.024	135.047634080894	34.6456393761749	31.1547911630839	47.6900336908082	-73.1832639753955	162.34012743816
3.048	135.002377247454	35.8917903147708	30.0178686096948	47.6196964027354	-73.2417167343125	162.438810011288
3.072	134.957202376283	37.1355609324409	28.8831146413672	47.5494923033514	-73.3000602102028	162.53730133912
3.096	134.912123127761	38.3769580593745	27.7505258430065	47.4794248077508	-73.3582875728771	162.635615082033
3.12	134.867125841509	39.6160260918011	26.6200612334777	47.4094870857445	-73.4164124827139	162.733751240028
3.144	134.815216403817	40.8521912938304	25.4817180007413	47.3353419672094	-73.4647087503351	162.826122718363
3.168	134.731614888376	42.0719503814734	24.3099068410718	47.2419971869174	-73.4676935430024	162.891870119313
3.192	134.588577066778	43.2483753339272	23.0860393946431	47.1130568757659	-73.3844198766416	162.90621351657
3.216	134.36867229626	44.3512903754388	21.8098834350233	46.9386753160663	-73.1879153342203	162.852255022127
3.24	134.062351972363	45.3378155783987	20.5039085770346	46.7143684886285	-72.8608722163818	162.717891540775
3.264	133.679656473168	46.1818186390426	19.2055630403487	46.4472636958514	-72.414580825824	162.508150091742
3.288	133.243357649365	46.8919499919543	17.9416057985866	46.1512569576014	-71.8813001459969	162.241881997138
3.312	132.774260257169	47.4926787898352	16.7222770128613	45.8385025955065	-71.2921416885699	161.938061522478
3.336	132.292322109333	48.0409380745122	15.52871511578	45.5195327612669	-70.6801977200718	161.61850429197
3.36	131.810342980362	48.5856388306315	14.3381175207984	45.2006414742028	-70.0678166194668	161.298523589733
3.384	131.327858417392	49.1309508886816	13.1462392653474	44.8814155078693	-69.454800311269	160.978215038416
3.408	130.844841099667	49.676860588284	11.9530572975386	44.5618412018882	-68.8411214747217	160.657551317262
3.432	130.361291027187	50.2233679294388	10.7585639334091	44.2419151411648	-68.2267596192574	160.33654608665
3.456	129.877208199951	50.7704763272406	9.56274978144892	43.9216339106045	-67.6117215750652	160.015172025822
3.48	129.399081297672	51.3108569887099	8.38164956450822	43.60529711429	-67.0042513804735	159.697745814335
3.504	129.005088665589	51.7561511716489	7.40837919740632	43.3446195295219	-66.5036736463924	159.436190550259
3.528	128.749175137767	52.0453755320531	6.77622384538048	43.175309385281	-66.1785361513323	159.266310085222
3.552	128.638853922293	52.1700640504462	6.50369630928921	43.1023185687157	-66.0383738393745	159.193063136563
3.576	128.615125845116	52.1968862033169	6.44506895366158	43.0866159638138	-66.0082185541888	159.177312720337
5.64	128.615125845116	52.1957455617255	6.44533405037874	43.0868823411914	-66.0075765164069	159.176643361798
5.664	128.615125845116	52.1397516709097	6.45826701357216	43.0999860591141	-65.9761371556573	159.144445850051
5.688	128.615125845116	51.9499099780238	6.50151278318892	43.1447681944073	-65.8691285819307	159.034698370467
5.712	128.615125845116	51.6857558269682	6.56011964824904	43.2079918404595	-65.7192400805948	158.880486359387
5.736	128.615125845116	51.4129922224637	6.61869577745789	43.2744256754216	-65.563211239195	158.719416838379
5.76	128.615125845116	51.1411506934972	6.67507984282999	43.3418191519622	-65.4064242467974	158.556994939916
5.784	128.615125845116	50.8913467698877	6.72511353982127	43.4048242319609	-65.2612144250429	158.406020438503
5.808	128.615125845116	50.7316398716199	6.75621181799917	43.4456448575355	-65.167811588143	158.308649261695
5.832	128.615125845116	50.6840061323482	6.76535317242958	43.4579016320011	-65.1398624540593	158.279470693561
5.856	128.615125845116	50.6837295096869	6.76540610639565	43.4579733489874	-65.1397053597084	158.27930676902
5.904	128.619401543537	50.6801641509401	6.77370435935039	43.4611562171406	-65.1441654732364	158.281751976743
